Code,apn
2,008 -0638-005-00
2,008 -0638-005-00
3,013 -1136-008-04
3,013 -1136-011-00
3,013 -1136-012-00
3,013 -1136-009-02
3,013 -1106-005-05
3,013 -1136-004-02
3,013 -1136-008-04
3,013 -1136-011-00
3,013 -1136-012-00
3,013 -1136-009-02
3,013 -1106-005-05
3,013 -1136-004-02
4,002-0065-006-01
5,014 -1226-009-02
5,014 -1226-009-02
6,014 -1241-009-00
6,014 -1241-008-00
6,014 -1241-005-01
6,014 -1241-009-00
6,014 -1241-008-00
6,014 -1241-005-01
7,001-0143-010-00
7,001 -0143-008-00
7,001 -0143-007-00
7,001 -0143-008-00
7,001 -0143-007-00
10,008-0634-003-00
11,030 -1982-121-00
11,030 -1982-122-00
11,030 -1982-121-00
11,030 -1982-122-00
12,008 -0672-007-02
12,008 -0672-007-02
14,046 -5423-022-00
14,046 -5423-001-01
14,046 -5423-018-00
14,046 -5423-022-00
14,046 -5423-001-01
14,046 -5423-018-00
15,003 -0071-018-00
15,003 -0071-017-00
15,003 -0071-018-00
15,003 -0071-017-00
16,025 -0673-007-00
16,025 -0673-007-00
17,001 -0189-005-00
17,001 -0189-013-00
17,001 -0189-014-01
17,001 -0189-005-00
17,001 -0189-013-00
17,001 -0189-014-01
18,007 -0589-029-00
18,007 -0589-023-00
18,007 -0589-029-00
18,007 -0589-023-00
19,014 -1226-013-00
19,014 -1226-013-00
20,033-2170-003-00
21,012 -0953-027-00
21,012 -0953-027-00
22,002-0081-007-00
22,002-0081-002-00
22,002 -0081-008-00
22,002 -0081-008-00
24,009 -0683-021-01
24,009 -0683-024-00
24,009 -0683-021-01
24,009 -0683-024-00
25,013-1162-009-01
25,013-1162-009-02
25,013-1162-010-00
28,003-0035-006-00
28,003-0023-007-01
28,003 -0025-010-00
28,003 -0025-010-00
29,008-0668-004-00
29,008-0668-009-07
29,008-0668-005-00
30,005-0433-018-04
31,001-0143-010-00
31,001 -0143-008-00
31,001 -0143-007-00
31,001 -0143-008-00
31,001 -0143-007-00
32,012-0968-031-00
33,002-0065-006-01
35,010-0779-012-00
35,010-0779-014-01
35,010-0779-015-01
36,047-5583-008-02
39,025 -0701-004-01
39,025 -0701-004-01
40,005 -0479-002-01
40,005 -0479-002-01
41,004-0069-004-00
42,007 -0560-001-02
42,007 -0560-001-02
43,008 -0659-023-00
43,008 -0647-016-00
43,008 -0647-017-00
43,008 -0659-023-00
43,008 -0647-016-00
43,008 -0647-017-00
44,020 -0181-016-00
44,020 -0181-013-01
44,020 -0181-005-01
44,020 -0181-016-00
44,020 -0181-013-01
44,020 -0181-005-01
49,008-0622-001-02
49,008-0622-001-03
49,008-0622-001-04
49,008-0622-001-05
51,018-0390-010-07
53,033-2127-015-01
55,033 -2121-023-00
55,033 -2121-023-00
56,008-0650-001-00
59,008 -0642-006-00
59,008 -0642-006-00
60,009 -0705-004-00
60,009 -0705-005-00
60,009 -0705-007-00
60,009 -0705-004-00
60,009 -0705-005-00
60,009 -0705-007-00
61,014-1242-002-03
61,014-1242-005-07
64,002-0097-038-00
64,002-0097-040-00
66,002-0027-007-00
67,002-0051-006-02
73,047 -5589-001-00
73,047 -5589-001-06
73,047 -5589-001-05
73,047 -5589-001-04
73,047 -5589-001-00
73,047 -5589-001-06
73,047 -5589-001-05
73,047 -5589-001-04
1,049 -1173-002-00
1,049 -1173-002-00
2,019 -0033-010-02
2,019 -0033-010-02
3,001-0173-009-00
5,002-0029-001-00
8,023-0494-001-07
10,006-0029-001-00
11,012-0968-030-01
11,012-0968-031-00
14,008 -0640-005-00
14,008 -0640-005-00
16,001 -0149-007-00
16,001 -0149-007-00
17,008-0655-007-00
17,008-0655-009-01
18,006-0029-002-00
19,008-0628-005-01
20,008-0666-006-00
22,002-0025-007-00
22,002-0025-009-00
23,001-0197-002-00
29,023-0494-001-07
30,001-0157-003-00
31,003-0071-006-00
32,025-0666-002-00
35,016-1506-001-02
37,029 -0993-020-01
37,029 -0993-020-01
38,001-0165-015-00
39,019-0055-001-04
40,025-0674-001-00
40,025-0674-002-00
40,025-0674-003-00
41,002-0021-011-01
41,002-0021-012-00
42,049-1507-004-00
43,002-0096-004-00
44,047-5484-006-04
45,008-0675-004-00
46,004-0067-021-00
47,007-0587-002-05
48,004-0067-021-00
49,047-5519-043-00
50,005-0470-017-01
51,005-0435-001-00
52,005-0428-001-00
53,008-0633-002-01
54,001-0159-006-00
55,001-0155-008-00
57,025-0716-012-00
59,001-0163-012-00
63,041-4056-003-00
68,008-0645-015-01
69,010-0767-014-00
72,008 -0651-003-01
72,008 -0651-003-01
73,002-0033-006-00
74,044-5053-001-06
75,008 -0620-014-00
75,008 -0620-014-00
76,034-2295-005-04
77,034-2295-005-04
79,007-0617-047-00
81,002-0094-002-00
85,007-0617-014-01
86,044-5074-009-03
87,008-0619-004-01
88,007-0617-016-03
88,007-0617-016-05
89,041-3902-022-60
